universe,k,mode,seed,clean_IC,clean_RankIC,dP
csi300,0.05,hub,0,0.06468522989933949,0.06783686700803931,0.0088337185
csi300,0.05,random,0,0.06324977154817978,0.06623904475999785,0.008336674
csi300,0.05,hub,1,0.06450701220046887,0.06778908606667453,0.008621951
csi300,0.05,random,1,0.06463409993900787,0.06744117291650203,0.008167295
csi300,0.05,hub,2,0.06444644343543161,0.06759782894128888,0.008613259
csi300,0.05,random,2,0.06341166678724067,0.06650021049613207,0.008140394
csi300,0.05,hub,3,0.06453382456730693,0.06773230591687115,0.008680974
csi300,0.05,random,3,0.06501965792430481,0.06845087923520786,0.008572614
csi300,0.05,hub,4,0.06464222593900111,0.0678410374825776,0.008612825
csi300,0.05,random,4,0.0659637861667945,0.06961735334769033,0.0068842173
csi300,0.1,hub,0,0.0645843830246821,0.0668627157716853,0.016361507
csi300,0.1,random,0,0.061746002702960684,0.06550954424039644,0.013151275
csi300,0.1,hub,1,0.06440071982748191,0.06698323044952251,0.016302867
csi300,0.1,random,1,0.06450756257288144,0.0668396959599523,0.013475751
csi300,0.1,hub,2,0.06429537221733933,0.06667554607976947,0.016328435
csi300,0.1,random,2,0.06494501762915932,0.06738482029369515,0.0137445
csi300,0.1,hub,3,0.06477136131183328,0.06721199117307805,0.016492838
csi300,0.1,random,3,0.0642612750559263,0.067230497334352,0.014212333
csi300,0.1,hub,4,0.06445849747203157,0.06695477279770898,0.016276564
csi300,0.1,random,4,0.06790131203143336,0.0720472265857491,0.012819413
csi300,0.2,hub,0,0.05945449891421595,0.06265411548017079,0.029291026
csi300,0.2,random,0,0.06178262266452171,0.0657457703986471,0.023659853
csi300,0.2,hub,1,0.05995188121009747,0.0633148809611278,0.029413704
csi300,0.2,random,1,0.06535641496420842,0.067709693906301,0.0224851
csi300,0.2,hub,2,0.05940164036626065,0.06266934078234242,0.029211342
csi300,0.2,random,2,0.06150164950682254,0.0638469974398543,0.023989273
csi300,0.2,hub,3,0.059668984303717296,0.0627318932226165,0.029511545
csi300,0.2,random,3,0.06195640248506112,0.06401493441071342,0.023422904
csi300,0.2,hub,4,0.05934998188582113,0.062395250479011746,0.029293004
csi300,0.2,random,4,0.06774634027115993,0.0714498951015805,0.022121726
